bytes_transferred,congestion_window
108040,20
108040,34
207320,40
397120,68
651160,68
681820,68
681820,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,10
712480,20
716860,40
743140,78
873080,156
1262900,312
1978300,624
3671900,1248
5987460,2496
7351100,4654
10167440,1361
12591040,3270
14194120,3271
17136020,1268
19555240,2299
21021080,2299
23894360,1311
26310660,1620
28262680,1631
30362160,1642
32541940,1652
34802020,1662
37173060,1163
39895960,1173
41980840,1183
43674440,1191
45368040,1199
47127340,1207
48820940,1214
50580240,1222
52339540,1229
54098840,1236
55922380,1243
57681680,1249
59505220,1256
61849980,1264
63673520,1270
65497060,1275
67320600,1281
69144140,1287
71033380,1292
72922620,1298
74746160,1303
76635400,1308
78524640,1313
80413880,1317
82303120,1322
84256600,1326
86145840,1331
88099320,1335
89988560,1339
91942040,1342
93895520,1346
95784760,1350
97738240,1353
99691720,1356
101645200,1359
103598680,1362
105617860,1365
107571340,1368
109524820,1371
111544000,1374
113497480,1376
115516660,1379
117470140,1381
119489320,1383
121508500,1385
123461980,1387
125481160,1389
127500340,1390
129519520,1392
131538700,1394
133557880,1395
135577060,1397
137596240,1398
139615420,1399
141634600,1400
143653780,1401
145672960,1402
147695060,1403
149725920,1404
151758240,1405
153792020,1406
155827260,1407
157863960,1408
159902120,1408
161940280,1409
163979900,1410
166020980,1410
168062060,1410
170103140,1411
172145680,1411
174188220,1411
176230760,1412
178274760,1412
180318760,1412
182362760,1412
184406760,1412
186450760,1412
188494760,1412
190538760,1412
192582760,1412
194626760,1412
196670760,1412
198714760,1412
200758760,1412
202802760,1412
204868660,1412
206912660,1412
208956660,1412
211000660,1412
213044660,1412
215088660,1412
217132660,1412
219176660,1412
221220660,1412
223264660,1412
225308660,1412
227352660,1412
229415640,1412
231466940,1413
233535760,1413
236385680,1413
238431140,1414
240543760,1414
242590680,1414
244703300,1415
246751680,1415
248800060,1416
250849900,1417
252920180,1417
254971480,1418
257219880,1419
260037680,1420
262087520,1421
264143200,1422
266200340,1423
268258940,1424
270319000,1425
272380520,1426
274443500,1427
276507940,1429
278575300,1430
280644120,1432
282715860,1433
284789060,1435
286865180,1437
288944220,1439
291026180,1441
293111060,1444
295134620,1446
297226800,1448
299321900,1451
301421380,1453
303523780,1456
305630560,1459
307741720,1462
309791560,1465
311910020,1468
314032860,1472
316161540,1475
318230360,1479
320369260,1483
322514000,1486
324598880,1490
326753840,1495
328916100,1499
331019960,1504
333195360,1508
335353240,1513
337476080,1518
339671920,1524
341810820,1529
344022720,1534
346241920,1540
348404180,1546
350640900,1552
352820680,1558
355074920,1564
357272220,1570
359543980,1577
361760260,1584
364051000,1591
366287720,1598
368534660,1606
370857520,1614
373127820,1622
375409800,1630
377767700,1638
380138740,1648
382480580,1656
385692580,1160
388103040,1178
389730940,1194
391490240,1207
393183840,1220
394943140,1233
396702440,1245
398525980,1257
400285280,1269
402108820,1281
403932360,1293
405821600,1304
407710840,1315
409600080,1325
411489320,1336
413442800,1346
415332040,1356
417285520,1366
419239000,1376
421258180,1385
423211660,1394
425230840,1403
427254400,1412
429298400,1421
431355540,1429
433358660,1437
435437700,1445
437462720,1453
439565120,1460
441676280,1468
443734880,1475
445803700,1482
447946980,1489
450036240,1496
452199960,1503
454309660,1509
456492360,1515
458618120,1521
460557000,1065
460946820,1068
463681400,1081
465440700,1089
467004360,1097
468568020,1104
470195920,1111
471759580,1118
473387480,1124
475015380,1132
476643280,1138
478271180,1144
479899080,1151
481526980,1157
483220580,1162
484914180,1168
486542080,1173
488235680,1178
489929280,1184
491688580,1189
493382180,1193
495075780,1198
496835080,1203
498594380,1207
500287980,1211
502047280,1216
503806580,1220
505565880,1224
507325180,1227
509084480,1231
510908020,1234
512667320,1238
514490860,1241
516250160,1244
518139400,1247
520614100,1250
522373400,1253
524196940,1256
526020480,1258
527844020,1261
529667560,1263
531491100,1265
533314640,1267
535138180,1269
536961720,1271
538850960,1272
540674500,1274
542498040,1276
544321580,1277
546210820,1278
548034360,1280
549857900,1281
551747140,1282
553636380,1283
555459920,1284
557349160,1285
559172700,1286
561061940,1287
562885480,1288
564774720,1289
566663960,1289
568487500,1290
570376740,1290
572265980,1291
574089520,1291
575978760,1292
577868000,1292
579691540,1292
581580780,1292
583470020,1293
585293560,1293
587182800,1293
589072040,1293
590961280,1293
592784820,1293
594674060,1293
596563300,1293
598452540,1293
600276080,1293
602165320,1293
604054560,1293
605878100,1293
607767340,1293
609656580,1293
611545820,1293
613369360,1293
615258600,1293
617147840,1293
619037080,1293
620860620,1293
622749860,1293
624639100,1293
626528340,1293
628351880,1293
630241120,1293
632130360,1294
633953900,1294
635843140,1294
637732380,1294
639621620,1295
641445160,1295
643334400,1296
645223640,1296
647112880,1297
649002120,1297
650825660,1298
652714900,1299
654604140,1299
656493380,1300
658382620,1301
660271860,1302
662161100,1303
664050340,1304
666199460,1305
668088700,1306
669977940,1307
671867180,1308
673756420,1310
675645660,1311
677599140,1313
679488380,1315
681377620,1316
683266860,1318
685220340,1320
687109580,1322
688998820,1325
690952300,1327
692841540,1329
694795020,1332
696748500,1334
698637740,1337
700591220,1340
702480460,1343
704499640,1346
706388880,1349
708342360,1352
710295840,1356
712249320,1360
714202800,1363
716873140,1368
718892320,1373
720911500,1377
722864980,1381
724884160,1385
726837640,1390
728856820,1395
730876000,1400
732895180,1405
734928960,1410
736970040,1416
739043240,1421
741100380,1427
743100580,1433
745173780,1439
747279100,1445
749369820,1452
751470760,1458
753533740,1465
755652200,1472
757805700,1479
759905180,1487
762016340,1494
764112900,1502
766221140,1510
768405300,1518
770560260,1527
772703540,1535
774924200,1544
777117120,1554
779299820,1563
781520480,1573
783730920,1583
786021660,1593
788287580,1603
790541820,1614
792836940,1625
795123300,1636
797450540,1647
799767560,1659
802210140,1161
804930120,1177
806949300,1192
808642900,1205
810402200,1219
812161500,1231
813920800,1243
815680100,1255
817503640,1267
819327180,1279
821150720,1291
823039960,1302
824863500,1313
826816980,1324
828706220,1335
830725400,1345
832678880,1355
834632360,1365
836585840,1375
838605020,1385
840558500,1394
842577680,1403
844596860,1412
846651080,1421
848708220,1429
850734700,1437
852837100,1445
854927820,1453
857030220,1461
859144300,1468
861202900,1476
863337420,1483
865501140,1490
867616680,1496
869739520,1503
871872580,1510
874015860,1516
876470120,1523
878639680,1529
880850120,1534
883003620,1540
885231580,1545
887401140,1550
889642240,1555
891892100,1560
894083560,1565
896348020,1569
898618320,1574
900830220,1578
903113660,1582
905402940,1586
907632360,1590
909931860,1594
912237200,1597
914482680,1601
916798240,1604
919118180,1608
921379720,1610
923708420,1614
926042960,1616
928380420,1619
929786400,569
930307620,1134
932989640,1149
934943120,1159
936571020,1167
938264620,1175
939958220,1181
941651820,1189
943345420,1196
945104720,1203
946798320,1210
948557620,1217
950316920,1224
952076220,1230
953835520,1236
955659060,1241
957418360,1247
959241900,1253
961001200,1258
962824740,1263
964648280,1268
966471820,1273
968295360,1278
970184600,1283
972008140,1288
973897380,1292
976372080,1297
978912480,1302
980736020,1306
982625260,1310
984514500,1314
986403740,1317
988357220,1320
990246460,1324
992135700,1327
994089180,1330
995978420,1332
997931900,1335
999821140,1338
1001774620,1340
1003728100,1343
1005617340,1345
1007570820,1347
1009524300,1349
1011477780,1351
1013431260,1353
1015384740,1355
1017338220,1356
1019291700,1358
1021245180,1360
1023264360,1361
1025217840,1362
1027171320,1364
1029124800,1365
1031143980,1366
1033097460,1367
1035050940,1368
1037070120,1369
1039023600,1370
1041042780,1371
1042996260,1372
1044949740,1373
1046968920,1373
1048922400,1374
1050941580,1374
1052895060,1375
1054914240,1375
1056933420,1376
1058886900,1376
1060906080,1376
1062859560,1376
1064878740,1377
1066832220,1377
1068851400,1377
1070870580,1377
1072824060,1377
1074843240,1377
1076796720,1377
1078815900,1377
1080835080,1377
1082788560,1377
1084807740,1377
1086761220,1377
1088780400,1377
1090799580,1377
1092753060,1377
1094772240,1377
1096725720,1377
1098744900,1377
1100764080,1377
1102717560,1377
1104736740,1377
1106690220,1377
1108709400,1377
1110728580,1377
1112682060,1377
1114701240,1377
1116654720,1377
1118673900,1378
1120693080,1378
